network,channel,station,data,endtime,starttime,sampling_rate,location
ZZ,HHN,FWU4,[ 1438  1094   368 ...   737 10990 19774],2019-12-01T23:59:59.996000,2019-12-01T00:00:00,250.0,10
ZZ,HHN,FWU4,[-3673 -3248 -2129 ...   676   247   804],2019-11-20T23:59:59.996000,2019-11-20T00:00:00,250.0,10
ZZ,HHN,FWU4,[ 100809 -168611   20495 ...    -957    -233   -1073],2019-12-09T23:59:59.996000,2019-12-09T00:00:00,250.0,10
ZZ,HHN,FWU4,[-2569   887  8283 ...  9661 15267  5941],2019-11-10T23:59:59.996000,2019-11-10T00:00:00,250.0,10
ZZ,HHN,FWU4,[  -692  -1246  -2051 ...   6289 -16228 -37531],2019-11-25T23:59:59.996000,2019-11-25T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -7266  10656 -15962 ...   4140   -648  -1937],2019-11-26T23:59:59.996000,2019-11-26T00:00:00,250.0,10
ZZ,HHN,FWU4,[-11854   8792  20357 ...   -110    351    -57],2019-12-18T23:59:59.996000,2019-12-18T00:00:00,250.0,10
ZZ,HHN,FWU4,[  -172   7057 -35214 ...   -110   1309   1492],2019-11-14T23:59:59.996000,2019-11-14T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -9810 -13905    344 ... -12042  -3186   -369],2019-11-08T23:59:59.996000,2019-11-08T00:00:00,250.0,10
ZZ,HHN,FWU4,[  3454  21879 -26166 ...  22869  19183   5913],2019-12-22T23:59:59.996000,2019-12-22T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -391  -120   211 ...  5516  2917 -1695],2019-11-19T23:59:59.996000,2019-11-19T00:00:00,250.0,10
ZZ,HHN,FWU4,[ 21191   -426 -32586 ... -79148 -16785  58592],2019-11-03T23:59:59.996000,2019-11-03T00:00:00,250.0,10
ZZ,HHN,FWU4,[    94  -4358  -6095 ... -62590 -59030  46753],2019-12-14T23:59:59.996000,2019-12-14T00:00:00,250.0,10
ZZ,HHN,FWU4,[ 1019   638   695 ... -4077 -3547 -2556],2019-11-17T23:59:59.996000,2019-11-17T00:00:00,250.0,10
ZZ,HHN,FWU4,[  3451  18126 -13864 ...    581    422    971],2019-11-28T23:59:59.996000,2019-11-28T00:00:00,250.0,10
ZZ,HHN,FWU4,[ 4114  8364  9648 ... -2516  4426  4719],2019-11-09T23:59:59.996000,2019-11-09T00:00:00,250.0,10
ZZ,HHN,FWU4,[ 18017  21320  75814 ... -68260  27646  38250],2019-11-04T23:59:59.996000,2019-11-04T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -4215  -4958  -3536 ...  28509  16990 -13222],2019-11-13T23:59:59.996000,2019-11-13T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -931  1390    12 ...  1102   570 -1696],2019-11-12T23:59:59.996000,2019-11-12T00:00:00,250.0,10
ZZ,HHZ,FWU4,[ 253 -131 -372 ... -691 -922 -744],2019-11-29T23:59:59.996000,2019-11-29T00:00:00,250.0,10
ZZ,HHZ,FWU4,[  780   680   220 ... 11320  3601 -7160],2019-11-21T23:59:59.996000,2019-11-21T00:00:00,250.0,10
ZZ,HHZ,FWU4,[-4933  4377 15238 ...   253  -120  -199],2019-11-14T23:59:59.996000,2019-11-14T00:00:00,250.0,10
ZZ,HHZ,FWU4,[ 1446  2044  1549 ...  2164 -3263 -7085],2019-11-13T23:59:59.996000,2019-11-13T00:00:00,250.0,10
ZZ,HHZ,FWU4,[ 3776  2895  1874 ... -8026 -8199 -9223],2019-11-27T23:59:59.996000,2019-11-27T00:00:00,250.0,10
ZZ,HHZ,FWU4,[ -4042 -24964 -35021 ... -32464 -10392  29113],2019-11-04T23:59:59.996000,2019-11-04T00:00:00,250.0,10
ZZ,HHZ,FWU4,[1447 1508 1693 ... 4729 7978 8983],2019-11-17T23:59:59.996000,2019-11-17T00:00:00,250.0,10
ZZ,HHZ,FWU4,[ 37217  14594 -19402 ...    366     52   -341],2019-11-05T19:05:41.284000,2019-11-05T00:00:00,250.0,10
ZZ,HHZ,FWU4,[16870  7779 -7968 ...  -865  -551  -111],2019-11-24T23:59:59.996000,2019-11-24T00:00:00,250.0,10
ZZ,HHZ,FWU4,[ -155   -39   316 ... -2404 -1246   236],2019-11-15T23:59:59.996000,2019-11-15T00:00:00,250.0,10
ZZ,HHZ,FWU4,[ 207   81  -67 ...   49 1985 2797],2019-11-19T23:59:59.996000,2019-11-19T00:00:00,250.0,10
ZZ,HHZ,FWU4,[   34  3552  5303 ... -6126 -3628  -135],2019-11-07T23:59:59.996000,2019-11-07T00:00:00,250.0,10
ZZ,HHZ,FWU4,[   153   2018   3940 ... -20943  -5271   8375],2019-12-04T23:59:59.996000,2019-12-04T00:00:00,250.0,10
ZZ,HHZ,FWU4,[-1972 13289 16615 ... 30011 27073 12745],2019-11-03T23:59:59.996000,2019-11-03T00:00:00,250.0,10
ZZ,HHZ,FWU4,[-5992  1831  3968 ...   526   511   405],2019-11-28T23:59:59.996000,2019-11-28T00:00:00,250.0,10
ZZ,HHZ,FWU4,[ -1176  -8318 -10479 ...    629  -1300  -2329],2019-11-09T23:59:59.996000,2019-11-09T00:00:00,250.0,10
ZZ,HHZ,FWU4,[-559 -655 -915 ... 1247  738  454],2019-11-30T23:59:59.996000,2019-11-30T00:00:00,250.0,10
