network,channel,station,location,starttime,endtime,sampling_rate,mean_data,PC1,PC2
ZZ,HHN,FWU3,10,2019-12-08T00:00:00,2019-12-08T23:59:59.996000,250.0,-1839.3333333333333,-0.36501377151556497,0.09220259702157246
ZZ,HHN,FWU3,10,2019-11-18T00:00:00,2019-11-18T23:59:59.996000,250.0,206.66666666666666,0.1765581620100187,1.503276954629607
ZZ,HHN,FWU3,10,2019-11-23T00:00:00,2019-11-23T23:59:59.996000,250.0,-4423.0,-1.0721318491714313,-0.33807294768351154
ZZ,HHN,FWU3,10,2019-10-31T00:00:00,2019-10-31T23:59:59.996000,250.0,-745.3333333333334,-0.0734409258521529,0.19442443508540916
ZZ,HHN,FWU3,10,2019-12-18T00:00:00,2019-12-18T23:59:59.996000,250.0,-5899.333333333333,-1.7899981749375342,2.9408252402648594
ZZ,HHN,FWU3,10,2019-12-27T00:00:00,2019-12-27T01:55:33.468000,250.0,-5391.666666666667,-1.1884231441870767,-0.041763158384757124
ZZ,HHN,FWU3,10,2019-12-17T00:00:00,2019-12-17T23:59:59.996000,250.0,15073.666666666666,4.217942981029322,0.13359046919594228
ZZ,HHN,FWU3,10,2019-12-06T00:00:00,2019-12-06T23:59:59.996000,250.0,32.333333333333336,0.14023474027246033,0.08038737229988233
ZZ,HHN,FWU3,10,2019-11-08T00:00:00,2019-11-08T23:59:59.996000,250.0,6129.666666666667,1.7890637297232665,-1.215729773309837
ZZ,HHN,FWU3,10,2019-12-01T00:00:00,2019-12-01T23:59:59.996000,250.0,-3959.0,-0.928421728086997,0.07862383765268528
ZZ,HHN,FWU3,10,2019-12-19T00:00:00,2019-12-19T23:59:59.996000,250.0,-448.6666666666667,0.002103379278704337,0.32434223224822717
ZZ,HHN,FWU3,10,2019-11-06T00:00:00,2019-11-06T23:59:59.996000,250.0,-15141.0,-3.8714840673783084,-2.2680100080999526
ZZ,HHN,FWU3,10,2019-12-10T00:00:00,2019-12-10T23:59:59.996000,250.0,448.6666666666667,0.24555959056465979,0.18358607761059229
ZZ,HHN,FWU3,10,2019-12-12T00:00:00,2019-12-12T23:59:59.996000,250.0,-3114.6666666666665,-0.7070521571056304,0.10060548420914177
ZZ,HHN,FWU3,10,2019-11-21T00:00:00,2019-11-21T23:59:59.996000,250.0,-1220.3333333333333,-0.20164655765427777,0.14946252213532238
ZZ,HHN,FWU3,10,2019-12-09T00:00:00,2019-12-09T23:59:59.996000,250.0,-5884.333333333333,-1.4749269584309024,-0.004279455048065971
ZZ,HHN,FWU3,10,2019-11-14T00:00:00,2019-11-14T23:59:59.996000,250.0,-1155.6666666666667,-0.14439349371724375,0.7621384407743592
ZZ,HHN,FWU3,10,2019-12-14T00:00:00,2019-12-14T23:59:59.996000,250.0,6776.0,1.9836283184232428,0.1599486227573794
ZZ,HHN,FWU3,10,2019-12-25T00:00:00,2019-12-25T23:59:59.996000,250.0,-467.3333333333333,0.03808699987285989,-0.10854061895211416
ZZ,HHN,FWU3,10,2019-12-22T00:00:00,2019-12-22T23:59:59.996000,250.0,6585.0,1.8587718245701925,1.305908342873203
ZZ,HHN,FWU3,10,2019-11-04T00:00:00,2019-11-04T23:59:59.996000,250.0,278.3333333333333,0.12639716592337263,0.23238034881098468
ZZ,HHN,FWU3,10,2019-11-22T00:00:00,2019-11-22T23:59:59.996000,250.0,24.0,0.12240376567493706,0.30853533449728976
ZZ,HHN,FWU3,10,2019-12-13T00:00:00,2019-12-13T23:59:59.996000,250.0,-171.33333333333334,-0.05616670023510497,1.9774347913585597
ZZ,HHN,FWU3,10,2019-12-21T00:00:00,2019-12-21T23:59:59.996000,250.0,-8605.0,-2.142949484280339,-1.3253188938829858
ZZ,HHN,FWU3,10,2019-12-11T00:00:00,2019-12-11T23:59:59.996000,250.0,843.3333333333334,0.3682977757734242,-0.22129439790902658
ZZ,HHN,FWU3,10,2019-11-26T00:00:00,2019-11-26T23:59:59.996000,250.0,-3253.6666666666665,-0.8491324855206874,3.501137260642688
ZZ,HHN,FWU3,10,2019-11-13T00:00:00,2019-11-13T23:59:59.996000,250.0,-1787.3333333333333,-0.3481769826670824,0.1622447863473997
ZZ,HHN,FWU3,10,2019-11-15T00:00:00,2019-11-15T23:59:59.996000,250.0,-1484.3333333333333,-0.27061740545038054,0.19850680092455536
ZZ,HHN,FWU3,10,2019-11-25T00:00:00,2019-11-25T23:59:59.996000,250.0,-1578.6666666666667,-0.2935780103188687,0.1487989844734996
ZZ,HHN,FWU3,10,2019-12-16T00:00:00,2019-12-16T23:59:59.996000,250.0,-1029.0,-0.15068923033371304,0.14759609764164414
ZZ,HHN,FWU3,10,2019-12-15T00:00:00,2019-12-15T23:59:59.996000,250.0,1526.3333333333333,0.665927411698067,-1.5671266552278305
ZZ,HHN,FWU3,10,2019-12-05T00:00:00,2019-12-05T23:59:59.996000,250.0,12397.333333333334,3.6516115737372195,-1.9970584884317775
ZZ,HHN,FWU3,10,2019-11-11T00:00:00,2019-11-11T23:59:59.996000,250.0,1423.3333333333333,0.5760327142827701,-0.05724770377402904
ZZ,HHN,FWU3,10,2019-11-05T00:00:00,2019-11-05T18:49:16.284000,250.0,-2507.6666666666665,-0.5602826307257193,-1.4080454660603396
ZZ,HHN,FWU3,10,2019-11-20T00:00:00,2019-11-20T23:59:59.996000,250.0,227.66666666666666,0.18882947203710598,0.12019899569064128
ZZ,HHN,FWU3,10,2019-11-30T00:00:00,2019-11-30T23:59:59.996000,250.0,-133.0,0.0888653614103607,0.25234310232714696
ZZ,HHN,FWU3,10,2019-12-03T00:00:00,2019-12-03T23:59:59.996000,250.0,592.3333333333334,0.2878216482496249,0.13588316573519998
ZZ,HHN,FWU3,10,2019-11-03T00:00:00,2019-11-03T23:59:59.996000,250.0,4888.333333333333,1.4257666292873417,-0.15900666533450844
ZZ,HHN,FWU3,10,2019-11-09T00:00:00,2019-11-09T23:59:59.996000,250.0,78.0,0.15592971181804513,-0.001691941047197471
ZZ,HHN,FWU3,10,2019-12-24T00:00:00,2019-12-24T23:59:59.996000,250.0,-1632.0,-0.3021677783214033,0.30970484487174693
ZZ,HHN,FWU3,10,2019-11-19T00:00:00,2019-11-19T23:59:59.996000,250.0,-934.3333333333334,-0.12292056400763897,0.17074989436618512
ZZ,HHN,FWU3,10,2019-11-10T00:00:00,2019-11-10T23:59:59.996000,250.0,-2461.3333333333335,-0.49891940060028545,-1.0057127503916539
ZZ,HHN,FWU3,10,2019-11-29T00:00:00,2019-11-29T23:59:59.996000,250.0,-957.3333333333334,-0.12342865041894094,0.11316028224017664
ZZ,HHN,FWU3,10,2019-12-04T00:00:00,2019-12-04T23:59:59.996000,250.0,-3729.3333333333335,-0.8143670775122597,-1.2948493322691852
ZZ,HHN,FWU3,10,2019-12-23T00:00:00,2019-12-23T23:59:59.996000,250.0,3908.3333333333335,1.2085803151121648,-0.985846634325122
ZZ,HHN,FWU3,10,2019-11-16T00:00:00,2019-11-16T23:59:59.996000,250.0,317.3333333333333,0.20292715764943497,0.687357392368006
ZZ,HHN,FWU3,10,2019-12-26T00:00:00,2019-12-26T23:59:59.996000,250.0,-2191.0,-0.6164754692013462,0.9099902159697065
ZZ,HHN,FWU3,10,2019-12-07T00:00:00,2019-12-07T23:59:59.996000,250.0,-2823.6666666666665,-0.6286009666733237,-0.16414812468037562
ZZ,HHN,FWU3,10,2019-11-17T00:00:00,2019-11-17T23:59:59.996000,250.0,-532.3333333333334,-0.017744428095320005,0.15364020681267876
