Table 1
Unit Name,Type of Downtime Entry,First Day,Downtime on First Day,Downtime Code 1,Last Day,Downtime on Last Day,Total Downtime,,,,,,,,,,,,,,,,,,,
FWU #701,single day,8/7/19,12.00,Surface Equipment Failure,8/7/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,8/8/19,7.00,Power Failure,8/8/19,,7.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,8/10/19,12.00,Power Failure,8/10/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #1508,single day,8/12/19,24.00,Power Failure,8/12/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #506,single day,8/18/19,4.00,Downhole Failure,8/18/19,,4.00,,,,,,,,,,,,,,,,,,,
FWU #602,single day,8/18/19,24.00,Surface Equipment Failure,8/18/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #1301 (INJ),single day,8/20/19,24.00,Pipeline Failure,8/20/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #909,single day,8/25/19,12.00,Power Failure,8/25/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #1316,single day,8/28/19,24.00,Shut In - Temporary,8/28/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #802,single day,8/28/19,24.00,Shut In - Temporary,8/28/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #907,single day,8/28/19,24.00,Shut In - Temporary,8/28/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #802,single day,8/29/19,24.00,Shut In - Temporary,8/29/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,9/1/19,12.00,Surface Equipment Failure,9/1/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,9/1/19,8.00,Surface Equipment Failure,9/1/19,,8.00,cooling fan,,,,,,,,,,,,,,,,,,
FWU #807,single day,9/2/19,22.00,Surface Equipment Failure,9/2/19,,22.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,9/2/19,18.00,Surface Equipment Failure,9/2/19,,18.00,,,,,,,,,,,,,,,,,,,
