Table 1
Unit Name,Meter Name,Date,End Reading,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/7/19,473.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/7/19,618.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/7/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/7/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/7/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,6/7/19,"117,392.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,6/7/19,"1,545.00",,,,,,,
FWU #803 (INJ),FWU #803 Water,6/7/19,"1,408.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/7/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/7/19,"1,415.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/7/19,0.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/8/19,"7,739.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/8/19,"2,039.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/8/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/8/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/8/19,0.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/8/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/8/19,"1,872.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/8/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/8/19,501.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/8/19,523.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/8/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/8/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/8/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,6/8/19,"117,473.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,6/8/19,"1,548.00",,,,,,,
FWU #803 (INJ),FWU #803 Water,6/8/19,"1,426.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/8/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/8/19,"1,218.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/8/19,0.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/9/19,"7,399.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/9/19,"2,038.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/9/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/9/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/9/19,0.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/9/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/9/19,"2,038.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/9/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/9/19,507.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/9/19,640.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/9/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/9/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/9/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,6/9/19,"117,560.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,6/9/19,"1,400.00",,,,,,,
FWU #803 (INJ),FWU #803 Water,6/9/19,"1,476.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/9/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/9/19,"1,442.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/9/19,0.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/10/19,"7,527.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/10/19,"1,978.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/10/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/10/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/10/19,0.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/10/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/10/19,"2,065.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/10/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/10/19,505.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/10/19,638.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/10/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/10/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/10/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,6/10/19,"117,645.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,6/10/19,"1,297.00",,,,,,,
